PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39762326,Sulfoxidation of pyrimidine thioate derivatives and study their biological activities.,2025 Jan 6,,,
39762305,Machine learning Nomogram for Predicting endometrial lesions after tamoxifen therapy in breast Cancer patients.,2025 Jan 6,,,
39762296,Subtype-specific prognostic impact of Bcl-2 in HER2-positive and HER2-negative breast cancer.,2025 Jan 6,,,
39762287,Selectively expressed RNA molecules as a versatile tool for functionalized cell targeting.,2025 Jan 6,,,
39762234,"Fear of progression, coping strategies, and associated factors among a sample of Malaysian women with breast cancer.",2025 Jan 6,,,
39762221,Positioning Enzyme- and Transporter-Based Precipitant Drug-Drug Interaction Studies in Drug Design.,2025 Jan 6,,,
39762173,[Value of the deep learning automated quantification of tumor-stroma ratio in predicting efficacy and prognosis of neoadjuvant therapy for breast cancer based on residual cancer burden grading].,2025 Jan 8,,,
39762100,Effect of different intraoperative blood pressure regulation levels on postoperative myocardial injury in patients undergoing radical mastectomy for breast cancer after receiving neoadjuvant chemotherapy: a study protocol for a randomised controlled trial.,2025 Jan 6,,,
39762065,Unexpected presentation: metastatic adenoid cystic carcinoma (AdCC) of the breast masquerading as a large cystic-solid renal mass.,2025 Jan 6,,,
39761950,Efficacy of eribulin monotherapy for bone marrow carcinomatosis of breast cancer in a patient with Werner syndrome.,2025 Jan 6,,,
39761945,Capsular Contracture After Postmastectomy Radiation in Implant-Based Breast Reconstruction: Effect of Implant Pocket and Two-Stage Surgery.,2024 Dec,,,
39761944,Clinicopathological Features and Oncological Outcomes of Germline Partner and Localizer of Breast Cancer 2-Mutated Breast Cancer in Korea.,2024 Dec,,,
39761942,"Uveal metastasis: clinical characteristics, treatment, and prognostic factors in a cohort of 161 patients in China.",2025 Jan 3,,,
39761936,Time-dependent diffusion MRI and kinetic heterogeneity as potential imaging biomarkers for diagnosing suspicious breast lesions with 3.0-T breast MRI.,2025 Jan 4,,,
39761875,Advancements in understanding the role and mechanism of sirtuin family (SIRT1-7) in breast cancer management.,2025 Jan 4,,,
39761672,Assessing the Impact of Multidisciplinary Cancer Consultations on Cancer Quality Metrics.,2024 Dec 1,,,
39761648,Executive Summary of the American Radium Society Appropriate Use Criteria: Regional Nodal Irradiation for Breast Cancer.,2024 Nov 14,,,
39761644,Talazoparib for the Treatment of Metastatic Castration-resistant Prostate Cancer: A Narrative Review.,2024 Nov 25,,,
39761620,"Identification of 8-(2-methyl phenyl)-9H-benzo[f]indeno[2,1-c]quinolin-9-one (C-5635020) as a novel and selective TGFβ RII kinase inhibitor for breast cancer therapy.",2025 Jan 2,,,
39761615,"Exploring 1,2,3-triazole-Schiff's base hybrids as innovative EGFR inhibitors for the treatment of breast cancer: In vitro and in silico study.",2025 Jan 3,,,
39761499,Expanding the Horizon of MRONJ Research in Breast Cancer Bone Metastasis Treatments.,2025 Jan 6,,,
39761194,High CXCL8 expression predicting poor prognosis in triple-negative breast cancer.,2025 Jan 6,,,
39761071,The Comparative Frequency of Breast Cancer-Related Lymphedema Determined by Perometer and Circumferential Measurements: Relationship with Functional Status and Quality of Life.,2025 Jan 6,,,
39761050,"Estimated Incidence and Prevalence of Metastatic Breast Cancer in Northern Ireland, 2009 to 2020.",2025 Jan 2,,,
39761019,Small upconversion-ruthenium nanohybrids for cancer theranostics.,2025 Jan 6,,,
39761002,Association of radiation-induced normal tissue toxicity with a high genetic risk for rheumatoid arthritis.,2025 Jan 6,,,
39760987,An In Silico Approach to Uncover Selective JAK1 Inhibitors for Breast Cancer from Life Chemicals Database.,2025 Jan 6,,,
39760980,Comparing loss of contractual employment pre- and post-diagnosis in patients with rare versus common cancer types: a national registry-based study.,2025 Jan 6,,,
39760975,Breast cancer classification based on breast tissue structures using the Jigsaw puzzle task in self-supervised learning.,2025 Jan 6,,,
39760839,Synergistic Inhibition of Breast Carcinoma Cell Proliferation by Quercetin and Sulforaphane via Activation of the ERK/MAPK Pathway.,2025 Jan 6,,,
39760789,Targeted Covalent Nanodrugs Reinvigorate Antitumor Immunity and Kill Tumors via Improving Intratumoral Accumulation and Retention of Doxorubicin.,2025 Jan 6,,,
39760691,Mucin5AC promotes breast cancer brain metastasis through cMET/CD44v6.,2025 Jan 6,,,
39760460,Rhus Verniciflua Stokes Inhibits PD-1 Expression and Induces Anticancer Effects by Enhancing T Cell Function.,2025 Jan-Dec,,,
39760400,"From the Ground Up: Building and Implementing a Successful CHW/Promotor(a) Program for Cancer Screening, Training, Education, and Prevention.",2025 Jan 6,,,
39760370,High-Throughput Dissociation and Orthotopic Implantation of Breast Cancer Patient-Derived Xenografts.,2024 Dec 20,,,
39760229,Seryl-tRNA synthetase inhibits Wnt signaling and breast cancer progression and metastasis.,2025 Jan 15,,,
39760151,Antibody/siRNA Nanocarriers Against Wnt Signaling Suppress Oncogenic and Stem-Like Behavior in Triple-Negative Breast Cancer Cells.,2025 Jan,,,
39760113,Left ventricular trabecular complexity for risk stratification of cancer therapy-related cardiac dysfunction in breast cancer.,2025 Jan,,,
39760071,Healthcare Professionals' Ratings and Views of Person-Centred Care in the Context of Allogeneic Hematopoietic Stem Cell Transplantation.,2025,,,
39759985,Effect of abdominal aortic calcification on long-term outcomes after the first liver resection in very old patients with hepatocellular carcinoma.,2025 Jan,,,
39759962,Recent Advancements of Nanomedicine in Breast Cancer Surgery.,2024,,,
39759848,Cellular EMT-status governs contact guidance in an electrospun TACS-mimicking in vitro model.,2025 Feb,,,
39759838,Correlation of Histopathological and Radiological Response Patterns and Their Prognostic Implications in Breast Cancer After Neoadjuvant Chemotherapy.,2024,,,
39759831,Recent advances of antibody-drug conjugates in treating breast cancer with different HER2 status.,2025,,,
39759800,Empirical Bayes Linked Matrix Decomposition.,2024 Oct,,,
39759618,Use of Magtrace as an Alternative Approach in Staging the Axilla in Early-Stage Breast Cancer: A Single-Center Experience.,2024 Dec,,,
39759518,Targeting CEA in metastatic triple negative breast cancer with image-guided radiation followed by Fab-mediated chimeric antigen receptor (CAR) T-cell therapy.,2024,,,
39759507,Unveiling the NEFH+ malignant cell subtype: Insights from single-cell RNA sequencing in prostate cancer progression and tumor microenvironment interactions.,2024,,,
39759488,A Retrospective Chart Analysis Comparing Breast Cancer Detection Rates Between Annual Versus Biennial Mammograms.,2024 Dec,,,
39759381,Identifying intersectional groups at risk for missing breast cancer screening: Comparing regression- and decision tree-based approaches.,2025 Mar,,,
39759205,"Male Breast Cancer Biology, Screening, Treatment, and Follow-Up: A Narrative Review.",2024 Dec,,,
39759189,Coal Worker's Pneumoconiosis Mimicking Lung Cancer in a 75-Year-Old Woman With a History of Breast Cancer: A Clinical Case Report.,2025 Jan,,,
39759144,Targeting ferroptosis: a promising strategy to overcome drug resistance in breast cancer.,2024,,,
